               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.024509,            0.007886,            0.015955,             0.97781,             0.97997,             0.98102,             0.76183,            0.013287,           0.0028265,           0.0028339,            0.006832,            0.006832,            0.006832
                  98,            0.022838,            0.007946,            0.014212,             0.97388,             0.98321,               0.995,             0.77193,            0.014397,           0.0028719,           0.0020895,            0.006799,            0.006799,            0.006799
                  99,            0.026395,           0.0087535,            0.016108,             0.97014,             0.97614,               0.995,              0.7871,            0.012404,           0.0028195,           0.0023005,            0.006766,            0.006766,            0.006766
                 100,            0.023032,           0.0077475,            0.013837,             0.94957,             0.98138,               0.995,             0.76073,            0.013762,            0.002841,           0.0025585,            0.006733,            0.006733,            0.006733
                 101,             0.02675,           0.0081915,             0.01707,             0.90901,             0.96356,             0.99024,              0.7728,            0.013791,           0.0027637,            0.003703,              0.0067,              0.0067,              0.0067
                 102,            0.024147,            0.008092,            0.015339,             0.94017,             0.94442,             0.98354,             0.75921,            0.013951,           0.0027803,           0.0053318,            0.006667,            0.006667,            0.006667
                 103,             0.02116,           0.0076042,            0.011924,              0.9526,             0.95756,             0.98389,             0.75234,             0.01313,           0.0027782,           0.0037309,            0.006634,            0.006634,            0.006634
                 104,            0.023354,           0.0078785,            0.014769,             0.97161,              0.9661,               0.995,             0.76891,            0.013676,            0.002856,           0.0026379,            0.006601,            0.006601,            0.006601
                 105,            0.022437,           0.0082863,            0.013449,             0.95294,             0.97126,             0.99222,             0.74175,            0.015422,           0.0029979,           0.0034104,            0.006568,            0.006568,            0.006568
                 106,            0.025737,           0.0075707,             0.01494,             0.96445,             0.98701,               0.995,             0.77191,            0.012887,           0.0028458,           0.0021958,            0.006535,            0.006535,            0.006535
                 107,            0.021718,           0.0078918,            0.014124,             0.96162,             0.97379,               0.995,             0.80215,            0.013124,           0.0028971,           0.0021026,            0.006502,            0.006502,            0.006502
